,Inventory Site,Item Number,Item Type,Asset Value,Inventory QTY,Physical QTY,Inventory Asset,Physical Asset,Variance QTY,Difference
245,Piscataway,1687,Packaging,0.25,3000.0,3000.0,750.0,750.0,0.0,0.0
246,Piscataway,2004,Packaging,0.24,7140.0,7140.0,1713.6,1713.6,0.0,0.0
247,Piscataway,00503COR,Packaging,0.75,1000.0,1000.0,750.0,750.0,0.0,0.0
248,Piscataway,1697,Packaging,0.03,67500.0,67500.0,2025.0,2025.0,0.0,0.0
249,Piscataway,001903B,Packaging,0.2,5600.0,5600.0,1120.0,1120.0,0.0,0.0
250,Piscataway,001694G(B),Packaging,0.02,109350.0,109350.0,2187.0,2187.0,0.0,0.0
251,Piscataway,001691G(B),Packaging,0.03,206550.0,206550.0,6196.5,6196.5,0.0,0.0
252,Piscataway,00110G,Packaging,0.02,62100.0,62100.0,1242.0,1242.0,0.0,0.0
253,Piscataway,1111,Packaging,0.01,196320.0,196320.0,1963.2,1963.2,0.0,0.0
254,Piscataway,00111G,Packaging,0.02,49950.0,49950.0,999.0,999.0,0.0,0.0
255,Piscataway,00113G,Packaging,0.03,117450.0,117450.0,3523.5,3523.5,0.0,0.0
256,Piscataway,125,Packaging,0.01,425360.0,425360.0,4253.6,4253.6,0.0,0.0
257,Piscataway,128,Packaging,0.0,245400.0,245400.0,0.0,0.0,0.0,0.0
258,Piscataway,00131COR,Packaging,0.27,7975.0,7975.0,2153.25,2153.25,0.0,0.0
259,Piscataway,00132COR,Packaging,0.3,7425.0,7425.0,2227.5,2227.5,0.0,0.0
260,Piscataway,00134COR,Packaging,0.54,1650.0,1650.0,891.0000000000001,891.0000000000001,0.0,0.0
261,Piscataway,001694G,Packaging,0.02,40500.0,40500.0,810.0,810.0,0.0,0.0
262,Piscataway,001695G,Packaging,0.03,98550.0,98550.0,2956.5,2956.5,0.0,0.0
263,Piscataway,001812A,Packaging,0.01,16360.0,16360.0,163.6,163.6,0.0,0.0
264,Piscataway,1881,Packaging,0.0,742500.0,742500.0,0.0,0.0,0.0,0.0
265,Piscataway,00189C,Packaging,0.01,850720.0,850720.0,8507.2,8507.2,0.0,0.0
266,Piscataway,190,Packaging,0.33,15330.0,15330.0,5058.900000000001,5058.900000000001,0.0,0.0
267,Piscataway,001901b,Packaging,0.26,4900.0,4900.0,1274.0,1274.0,0.0,0.0
268,Piscataway,CTNSAVSFT,Finish Good ,89.71,878.0,878.0,78765.37999999999,78765.37999999999,0.0,0.0
269,Piscataway,001994B,Packaging,0.26,8260.0,8260.0,2147.6,2147.6,0.0,0.0
270,Piscataway,001996B,Packaging,0.24,19180.0,19180.0,4603.2,4603.2,0.0,0.0
271,Piscataway,226,Ingredient ,22.14,150.0,150.0,3321.0,3321.0,0.0,0.0
272,Piscataway,228,Ingredient ,23.38,109.5,109.5,2560.1099999999997,2560.1099999999997,0.0,0.0
273,Piscataway,232,Ingredient ,15.54,271.3,271.3,4216.0019999999995,4216.0019999999995,0.0,0.0
274,Piscataway,394,Ingredient ,40.05,120.0,120.0,4806.0,4806.0,0.0,0.0
275,Piscataway,492,Ingredient ,1.64,13500.0,13500.0,22140.0,22140.0,0.0,0.0
276,Piscataway,501,Packaging,1.84,2340.0,2340.0,4305.6,4305.6,0.0,0.0
277,Piscataway,T10340FT,Finish Good ,6.15,840.0,840.0,5166.0,5166.0,0.0,0.0
278,Piscataway,SMCRMINFT,Finish Good ,81.33,1080.0,1080.0,87836.4,87836.4,0.0,0.0
279,Piscataway,T10210FT,Finish Good ,8.02,2410.0,2410.0,19328.2,19328.2,0.0,0.0
280,Piscataway,5015,Ingredient ,13.23,29.99996,30.0,396.8994708,396.90000000000003,3.999999999848569e-05,0.0005292000000167718
281,Penn Dairy,255,Ingredient ,0.35,-0.00152,0.0,-0.000532,0.0,0.00152,0.000532
282,Penn Dairy,465,Ingredient ,3.6,4023.39732,4023.4,14484.230352,14484.24,0.0026800000000548607,0.009647999999288004
283,Penn Dairy,355,Ingredient ,4.2,1901.46,1901.47,7986.1320000000005,7986.174000000001,0.009999999999990905,0.042000000000371074
284,Piscataway,189,Packaging,0.01,654396.568,654422.0,6543.96568,6544.22,25.432000000029802,0.254320000000007
285,Piscataway,390,Ingredient ,4.42,-0.05275,0.0,-0.233155,0.0,0.05275,0.233155
286,Piscataway,00133COR,Packaging,0.27,24989.0,24990.0,6747.030000000001,6747.3,1.0,0.26999999999952706
287,Piscataway,425,Ingredient ,6.96,-0.07033,0.0,-0.4894968,0.0,0.07033,0.4894968
288,Piscataway,247,Ingredient ,14.2,-0.05275,0.0,-0.7490499999999999,0.0,0.05275,0.7490499999999999
289,Piscataway,529,Ingredient ,5.05,64.0,64.16,323.2,324.008,0.1599999999999966,0.8079999999999927
290,Piscataway,393,Ingredient ,19.84,-0.07033,0.0,-1.3953472,0.0,0.07033,1.3953472
291,Penn Dairy,425,Ingredient ,6.96,2251.5606,2251.78,15670.861775999998,15672.3888,0.21940000000040527,1.5270240000027115
292,Piscataway,360,Ingredient ,10.14,-0.17582,0.0,-1.7828148000000001,0.0,0.17582,1.7828148000000001
293,Penn Dairy,5026,Ingredient ,15.09,458.27,458.41,6915.2943,6917.4069,0.1400000000000432,2.112600000000384
294,Penn Dairy,460,Ingredient ,18.33,-0.2,0.0,-3.666,0.0,0.2,3.666
295,Piscataway,361,Ingredient ,0.18,11329.4,11350.0,2039.292,2043.0,20.600000000000364,3.7080000000000837
296,Piscataway,249,Ingredient ,8.2,63.84254,64.37,523.508828,527.834,0.5274600000000049,4.325171999999952
297,Piscataway,1882,Packaging,0.0,2045721.0,2047514.0,0.0,0.0,1793.0,0.0
298,Penn Dairy,249,Ingredient ,8.2,117.12,119.26,960.3839999999999,977.9319999999999,2.1400000000000006,17.548000000000002
299,Piscataway,47,Packaging,0.3,191166.0,191300.0,57349.799999999996,57390.0,134.0,40.200000000004366
300,Piscataway,1886,Packaging,0.01,283353.0,294480.0,2833.53,2944.8,11127.0,111.26999999999998
301,Piscataway,1885,Packaging,0.01,248029.0,261760.0,2480.29,2617.6,13731.0,137.30999999999995
302,Piscataway,001819A,Packaging,0.01,328517.0,343560.0,3285.17,3435.6,15043.0,150.42999999999984
303,Lithuania,00133COR,Packaging,0.27,-500.0,0.0,-135.0,0.0,500.0,135.0
304,Penn Dairy,357,Ingredient ,2.45,6363.95,6418.87,15591.6775,15726.231500000002,54.92000000000007,134.5540000000019
305,Penn Dairy,360,Ingredient ,10.14,3676.96,3690.3,37284.3744,37419.64200000001,13.340000000000146,135.2676000000065
306,Piscataway,57,Packaging,0.1,123310.0,124800.0,12331.0,12480.0,1490.0,149.0
307,Piscataway,1887,Packaging,0.01,559833.0,588960.0,5598.33,5889.6,29127.0,291.27000000000044
308,Piscataway,001688G,Packaging,0.03,260980.0,267450.0,7829.4,8023.5,6470.0,194.10000000000036
309,Piscataway,00174A,Packaging,0.01,1466718.0,1505120.0,14667.18,15051.2,38402.0,384.02000000000044
310,Piscataway,T10150FT,Finish Good ,4.55,1532.0,1577.0,6970.599999999999,7175.349999999999,45.0,204.75
311,Piscataway,63,Packaging,0.23,41620.0,42640.0,9572.6,9807.2,1020.0,234.60000000000036
312,Piscataway,001999B,Packaging,0.28,31230.0,32070.0,8744.400000000001,8979.6,840.0,235.1999999999989
313,Piscataway,00109MINCSL,Packaging,0.65,14189.0,14625.0,9222.85,9506.25,436.0,283.39999999999964
314,H&F,T10160FT,Finish Good ,4.55,-63.0,0.0,-286.65,0.0,63.0,286.65
315,Piscataway,001705G,Packaging,0.04,47100.0,55500.0,1884.0,2220.0,8400.0,336.0
316,Piscataway,60,Packaging,0.11,105843.0,109304.0,11642.73,12023.44,3461.0,380.71000000000095
317,E-Comm,T10080FT,Finish Good ,5.23,57.0,131.0,298.11,685.1300000000001,74.0,387.0200000000001
318,Penn Dairy,388,Ingredient ,5.88,1067.1,1133.16,6274.548,6662.9808,66.06000000000017,388.4328000000005
319,E-Comm,T10120FT,Finish Good ,4.54,10.0,98.0,45.4,444.92,88.0,399.52000000000004
320,E-Comm,190,Packaging,0.33,8566.0,9826.0,2826.78,3242.58,1260.0,415.7999999999997
321,Piscataway,00168G(B),Packaging,0.03,107590.0,126900.0,3227.7,3807.0,19310.0,579.3000000000002
322,E-Comm,E-Comm,Finish Good ,4.82,-26.0,102.0,-125.32000000000001,491.64000000000004,128.0,616.96
323,Piscataway,001693G(B),Packaging,0.03,191900.0,216000.0,5757.0,6480.0,24100.0,723.0
324,E-Comm,T10181FT,Finish Good ,6.06,-106.0,0.0,-642.36,0.0,106.0,642.36
325,E-Comm,T10330FT,Finish Good ,4.91,-137.0,0.0,-672.6700000000001,0.0,137.0,672.6700000000001
326,Piscataway,351,Ingredient ,0.67,87693.84,88700.0,58754.872800000005,59429.0,1006.1600000000035,674.1271999999954
327,E-Comm,T10311FT,Finish Good ,5.09,-140.0,0.0,-712.6,0.0,140.0,712.6
328,H&F,T10150FT,Finish Good ,4.55,-172.0,0.0,-782.6,0.0,172.0,782.6
329,Penn Dairy,247,Ingredient ,14.2,69.23,136.58,983.066,1939.4360000000001,67.35000000000001,956.3700000000001
330,Piscataway,1MIN1191FT,WIP,0.26,78162.0,81902.0,20322.12,21294.52,3740.0,972.4000000000015
331,Piscataway,00140C,Packaging,0.28,32364.0,36000.0,9061.92,10080.000000000002,3636.0,1018.0800000000017
332,E-Comm,E-Comm,Finish Good ,5.0,25.0,227.0,125.0,1135.0,202.0,1010.0
333,Piscataway,494,Ingredient ,10.77,342.8,440.0,3691.956,4738.8,97.19999999999999,1046.844
334,E-Comm,E-Comm M.Berry,Finish Good ,6.18,63.0,241.0,389.34,1489.3799999999999,178.0,1100.04
335,Piscataway,1673,Packaging,0.08,98060.0,112500.0,7844.8,9000.0,14440.0,1155.1999999999998
336,Piscataway,T10080FT,Finish Good ,5.23,-51.0,179.0,-266.73,936.1700000000001,230.0,1202.9
337,H&F,CH002-LS,Coating,1.14,13174.0,14249.0,15018.359999999999,16243.859999999999,1075.0,1225.5
338,Penn Dairy,464,Ingredient ,63.2,153.08782,173.0,9675.150224,10933.6,19.912180000000006,1258.4497759999995
339,Piscataway,56,Packaging,0.1,174668.0,188000.0,17466.8,18800.0,13332.0,1333.2000000000007
340,E-Comm,T10036FT,Finish Good ,5.9,-170.0,70.0,-1003.0000000000001,413.0,240.0,1416.0
341,Piscataway,T10320FT,Finish Good ,5.06,835.0,1157.0,4225.099999999999,5854.419999999999,322.0,1629.3199999999997
342,Piscataway,2009,Packaging,0.97,10640.0,12500.0,10320.8,12125.0,1860.0,1804.2000000000007
343,Piscataway,T10300FT,Finish Good ,4.85,-389.0,0.0,-1886.6499999999999,0.0,389.0,1886.6499999999999
344,E-Comm,E-Comm,Finish Good ,4.63,269.0,704.0,1245.47,3259.52,435.0,2014.05
345,Piscataway,2013,Packaging,0.67,1406.0,4500.0,942.0200000000001,3015.0,3094.0,2072.98
346,E-Comm,E-Comm,Finish Good ,7.87,24.0,331.0,188.88,2604.9700000000003,307.0,2416.09
347,Penn Dairy,453,Ingredient ,18.65,231.68,361.88,4320.831999999999,6749.061999999999,130.2,2428.2299999999996
348,Piscataway,T10330FT,Finish Good ,4.91,1772.0,2274.0,8700.52,11165.34,502.0,2464.8199999999997
